箇所マスタの更新方法,,,,,,,,
　・組織の統廃合や、システム内の設定が変わった場合は、行の挿入や削除をして、eProStaff又はe-worksのコードの追加削除を行い、,,,,,,,,
　　それに合うようにオリジナルのコードを付けてください。該当するマスタ名がない場合は追加してください。,,,,,,,,
,,,,,,,,
,,,,,,,,
eProとe-worksチェックのオリジナルのマスタ,,,e-worksの箇所マスタ,,,eProStaffの箇所マスタ,,
順序,部門（上位）,部門（下位）,システム,部門コード,部門名称,システム,部門コード,部門名称
1,会社,会社,e-works,1,JR九州サービスサポート,ePro,1,ＪＲ九州サービスサポート株式会社
11,本社,役員,e-works,1E+11,役員,ePro,1E+11,役員
12,本社,本社,e-works,11,純本社,ePro,2E+11,本社
13,本社,企画本部,e-works,2.02E+11,企画本部,ePro,2.02E+11,企画本部
16,本社,経営企画部,e-works,2.0201E+11,経営企画部,ePro,2.0201E+11,経営企画部
17,本社,安全サービス推進部,e-works,2.0202E+11,安全サービス推進部,ePro,2.0202E+11,安全サービス推進部
18,本社,コンプライアンス部,e-works,2.0203E+11,コンプライアンス部,ePro,2.0203E+11,コンプライアンス部
19,本社,総務企画部,e-works,2.0204E+11,総務企画部,ePro,2.0204E+11,総務企画部
19,本社,総務企画部,,,,ePro,2.0204E+11,総務Ｇ
19,本社,総務企画部,,,,ePro,2.0204E+11,人事勤労Ｇ
20,本社,経理部,e-works,2.0205E+11,経理部,ePro,2.0205E+11,経理部
21,本社,総務企画部（門司港）,e-works,2.0204E+11,総務企画部(門司港),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(北九州パレス),ePro,2.0204E+11,出向
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(九州芸文館),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(情報プラザ人の駅),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(鉄道記念館),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(JR九州),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(JR九州),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(日本観光振興協会),,,
23,本社（出向）,総務企画部（出向）,e-works,2.0204E+11,総務企画部(ハイコム),,,
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　本社,ePro,2.0204E+11,JR出向
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　本社直轄等,ePro,2.0204E+11,JR出向　本社
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　門司駅,ePro,2.0204E+11,JR出向　本社直轄等
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　小倉駅,ePro,2.0204E+11,JR出向　門司駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　戸畑駅,ePro,2.0204E+11,JR出向　小倉駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　海老津駅,ePro,2.0204E+11,JR出向　戸畑駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　西小倉駅,ePro,2.0204E+11,JR出向　海老津駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　下曽根駅,ePro,2.0204E+11,JR出向　西小倉駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　福間駅,ePro,2.0204E+11,JR出向　下曽根駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　福工大前駅,ePro,2.0204E+11,JR出向　福間駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　吉塚駅,ePro,2.0204E+11,JR出向　福工大前駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　博多駅,ePro,2.0204E+11,JR出向　吉塚駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　大野城駅,ePro,2.0204E+11,JR出向　博多駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　二日市駅,ePro,2.0204E+11,JR出向　大野城駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　羽犬塚駅,ePro,2.0204E+11,JR出向　二日市駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　筑後船小屋駅,ePro,2.0204E+11,JR出向　羽犬塚駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　新鳥栖駅,ePro,2.0204E+11,JR出向　筑後船小屋駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　江北駅,ePro,2.0204E+11,JR出向　新鳥栖駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　香椎SC,ePro,2.0204E+11,JR出向　江北駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　乗管センター,ePro,2.0204E+11,JR出向　香椎SC
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　審査,ePro,2.0204E+11,JR出向　乗管センター
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　中間SC,ePro,2.0204E+11,JR出向　審査
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　直方駅,ePro,2.0204E+11,JR出向　中間SC
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　長者原駅,ePro,2.0204E+11,JR出向　直方駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　九大学研都市駅,ePro,2.0204E+11,JR出向　長者原駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　唐津駅,ePro,2.0204E+11,JR出向九大学研都市駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　長崎支社,ePro,2.0204E+11,JR出向　唐津駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　浦上駅,ePro,2.0204E+11,JR出向　長崎支社
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　早岐駅,ePro,2.0204E+11,JR出向　浦上駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　大分支社,ePro,2.0204E+11,JR出向　早岐駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　向之原駅,ePro,2.0204E+11,JR出向　大分支社
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　柳ケ浦駅,ePro,2.0204E+11,JR出向　向之原駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　亀川駅,ePro,2.0204E+11,JR出向　柳ケ浦駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　臼杵駅,ePro,2.0204E+11,JR出向　亀川駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　大分SC,ePro,2.0204E+11,JR出向　臼杵駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　熊本支社,ePro,2.0204E+11,JR出向　大分SC
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　上熊本駅,ePro,2.0204E+11,JR出向　熊本支社
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　新八代駅,ePro,2.0204E+11,JR出向　上熊本駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　水前寺駅,ePro,2.0204E+11,JR出向　新八代駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　鹿児島支社,ePro,2.0204E+11,JR出向　水前寺駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　川内駅,ePro,2.0204E+11,JR出向　鹿児島支社
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　伊集院駅,ePro,2.0204E+11,JR出向　川内駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　国分駅,ePro,2.0204E+11,JR出向　伊集院駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　谷山SC,ePro,2.0204E+11,JR出向　国分駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　宮崎支社,ePro,2.0204E+11,JR出向　谷山SC
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　南宮崎駅,ePro,2.0204E+11,JR出向　宮崎支社
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,e-works,2.0204E+11,総務企画部　JR出向　日向市駅,ePro,2.0204E+11,JR出向　南宮崎駅
24,本社（ＪＲ出向）,総務企画部（ＪＲ出向）,,,,ePro,2.0204E+11,JR出向　日向市駅
28,西市民センター,西市民センター,e-works,2.0204E+11,総務企画部(西市民センター),,,
31,本社,鉄道事業本部,e-works,2.01E+11,鉄道事業本部,,,
32,本社,鉄道整備事業部,e-works,2.0101E+11,鉄道整備事業部,ePro,2.01E+11,鉄道事業本部
32,本社,鉄道整備事業部,,,,ePro,2.0101E+11,鉄道整備事業部
32,本社,鉄道整備事業部,,,,ePro,2.0101E+11,清掃整備Ｇ
32,本社,鉄道整備事業部,,,,ePro,2.0101E+11,品質管理Ｇ
32,本社,鉄道整備事業部,,,,ePro,2.0101E+11,環境Ｇ
33,本社,駅事業部,e-works,2.0102E+11,駅事業部,,,
33,本社,駅事業部,e-works,2.0102E+11,駅事業部地下鉄G,,,
34,本社,地下鉄事業部,e-works,2.0103E+11,地下鉄事業部,ePro,2.0103E+11,地下鉄事業部
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30001,姪浜駅・西新駅,ePro,2.0103E+11,地下鉄事業部　お客様サービスセンター
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30004,各種案内,ePro,2.0103E+11,地下鉄事業部　博多管区
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30005,橋本駅,ePro,2.0103E+11,地下鉄事業部　橋本管区
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30006,次郎丸駅,ePro,2.0103E+11,地下鉄事業部　天神南管区
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30007,賀茂駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30008,野芥駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30009,梅林駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30010,福大前駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30011,七隈駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30012,金山駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30013,茶山駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30014,祇園駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30015,東比恵駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30016,福岡空港駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30017,博多駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30018,櫛田神社前駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30019,天神南駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30020,渡辺通駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30021,薬院駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30022,薬院大通駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30023,桜坂駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30024,六本松駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,30025,別府駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,2.0102E+11,博多駅・貝塚駅・天神駅・別府駅,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,2.0102E+11,博多管区責任者室,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,2.0102E+11,橋本管区責任者室,,,
35,地下鉄事業部（現業）,地下鉄事業部,e-works,2.0102E+11,天神南管区責任者室,,,
41,本社,ビル管理事業部,e-works,2.0008E+11,ビル管理事業部,ePro,2.0008E+11,ビル管理事業部
41,本社,ビル管理事業部,e-works,2.0008E+11,企画G,ePro,2.0008E+11,企画Ｇ
41,本社,ビル管理事業部,e-works,2.0008E+11,ビル管理G,ePro,2.0008E+11,ビル管理Ｇ
41,本社,ビル管理事業部,e-works,2.0008E+11,クリーンG,ePro,2.0008E+11,クリーンＧ
45,本社,ビル管理事業部(情報プラザ人の駅),e-works,2.0008E+11,情報プラザ人の駅,,,
51,本社,ホテル事業部,e-works,2.0009E+11,ホテル事業部,ePro,2.0009E+11,ホテル事業部
51,本社,ホテル事業部,,,,ePro,2.0009E+11,企画Ｇ
51,本社,ホテル事業部,,,,ePro,2.0009E+11,指導・支援Ｇ
55,リネンサプライ事業部,リネンサプライ事業部,e-works,2.03E+11,リネンサプライ事業部,,,
81,本社以外,純本社以外,e-works,21,純本社以外,,,
361,ホテル事業部（現業）,ホテル事業部,e-works,2.0009E+11,東急ステイ,ePro,2.0009E+11,東急スティ
361,ホテル事業部（現業）,ホテル事業部,e-works,2.0009E+11,ブラッサム博多中央,ePro,2.0009E+11,ブラッサム博多中央
1061,支店,支店,,,,ePro,3E+11,支店
1111,小倉事業所,小倉事業所,e-works,2E+11,小倉事業所,ePro,2E+11,小倉事業所
1111,小倉事業所,小倉事業所,e-works,2E+11,小倉事業所(門司港),ePro,2E+11,駅清掃
1111,小倉事業所,小倉事業所,,,,ePro,2E+11,車両整備
1111,小倉事業所,小倉事業所,,,,ePro,2E+11,環境
1121,直方事業所,直方事業所,e-works,2E+11,直方事業所,ePro,2E+11,直方事業所
1121,直方事業所,直方事業所,e-works,2E+11,直方事業所(鉄道整備),ePro,2E+11,車両整備
1121,直方事業所,直方事業所,,,,ePro,2E+11,駅清掃
1141,博多事業所,博多事業所,e-works,2E+11,博多事業所,ePro,2E+11,博多事業所
1141,博多事業所,博多事業所,e-works,2E+11,博多事業所(コインロッカー),ePro,2E+11,駅清掃
1141,博多事業所,博多事業所,e-works,2E+11,博多事業所(出張所),,,
1141,博多事業所,博多事業所,e-works,2E+11,博多事業所(ポイント清掃),,,
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所,ePro,2E+11,南福岡事業所
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(車両清掃),ePro,2E+11,車両整備
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(駅清掃),ePro,2E+11,駅清掃
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(環境),ePro,2E+11,環境
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所竹下派出（車両清掃）,ePro,2E+11,竹下派出・車両整備
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所竹下派出（環境）,ePro,2E+11,竹下派出・環境
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(鳥栖)G,,,
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(久留米),,,
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(佐賀),,,
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所(日田),,,
1151,南福岡事業所,南福岡事業所,e-works,2E+11,南福岡事業所唐津派出（車両清掃）,,,
1161,唐津事業所,唐津事業所,e-works,2E+11,唐津事業所,ePro,2E+11,
1161,唐津事業所,唐津事業所,,,,ePro,2E+11,
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所,ePro,2E+11,福岡クリーン事業所
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(ハウス),ePro,2E+11,ビル
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(内野CC),ePro,2E+11,福岡大同生命
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(九州芸文館),ePro,2E+11,ＪＲ内野
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(今村病院),ePro,2E+11,九州芸文館
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(SJR千早防災),ePro,2E+11,ＭＪＲその他
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(SJR千早清掃),ePro,2E+11,今村病院
1181,福岡クリーン事業所,福岡クリーン事業所,e-works,2E+11,福岡クリーン事業所(福工大前駅),ePro,2E+11,ＳＪＲ千早
1181,福岡クリーン事業所,福岡クリーン事業所,,,,ePro,2E+11,クリーン
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所,ePro,2E+11,博多シティ事業所
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(クリーンセンター),ePro,2E+11,デイトス清掃
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(清掃),ePro,2E+11,博多シティ清掃
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(六本松),ePro,2E+11,六本松
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(西市民センター),ePro,2E+11,西市民センター
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(ビル),ePro,2E+11,ビル
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(大同生命),ePro,2E+11,福岡大同生命
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(JRJPビル),ePro,2E+11,ＪＲＪＰビル
1191,博多シティ事業所,博多シティ事業所,e-works,2E+11,博多シティ事業所(博多プレミア),,,
1211,リネンサプライ事業部,福岡工場,e-works,2.03E+11,福岡工場,,,
1221,リネンサプライ事業部,リネン博多事業所,e-works,2.03E+11,リネン博多事業所,,,
1225,リネンサプライ事業部,リネン博多事業所(技術),e-works,30101,技術,,,
1226,リネンサプライ事業部,リネン博多事業所(洗濯),e-works,30102,洗濯,,,
1227,リネンサプライ事業部,リネン博多事業所(運転士),e-works,30103,運転士,,,
